date,item_nbr,logunits,store_nbr,units,station_nbr,tmax,tmin,tavg,depart,dewpoint,wetbulb,heat,cool,sunrise,sunset,codesum,snowfall,preciptotal,stnpressure,sealevel,resultspeed,resultdir,avgspeed,year,month,day,week,weekday,quarter,holiday,blackfriday,isholiday,isblackfriday
2012-01-01,9,3.4011973816621555,1,29.0,1,52.0,31.0,42.0,7.8888888888888875,36.0,40.0,23.0,0.0,,,RA FZFG BR,0.05555555555555555,0.05,29.78,29.92,3.6,20.0,4.6,2012,1,1,52,6,1,New Year's Day,,1,0
2012-01-02,9,4.110873864173311,1,60.0,1,50.0,31.0,41.0,1.5555555555555556,26.0,35.0,24.0,0.0,,, ,0.0,0.01,29.44,29.62,9.8,24.0,10.3,2012,1,2,1,0,1,'New Year's Day' observed,,1,0
2012-01-03,9,2.772588722239781,1,15.0,1,32.0,11.0,22.0,-3.5555555555555562,4.0,18.0,43.0,0.0,,, ,0.0,0.0,29.67,29.87,10.8,31.0,11.6,2012,1,3,1,1,1,,,0,0
2012-01-04,9,3.044522437723423,1,20.0,1,28.0,9.0,19.0,0.7777777777777778,-1.0,14.0,46.0,0.0,,, ,0.0,0.0,29.86,30.03,6.3,27.0,8.3,2012,1,4,1,2,1,,,0,0
2012-01-05,9,2.833213344056216,1,16.0,1,38.0,25.0,32.0,7.222222222222222,13.0,25.0,33.0,0.0,,, ,0.0,0.0,29.67,29.84,6.9,25.0,7.8,2012,1,5,1,3,1,,,0,0
2012-01-06,9,2.5649493574615367,1,12.0,1,46.0,25.0,36.0,11.459755837089428,21.0,29.0,29.0,0.0,,,SN,0.04444444444444445,0.0,29.68,29.84,0.3,1.0,2.4,2012,1,6,1,4,1,,,0,0
2012-01-07,9,1.0986122886681098,1,2.0,1,57.0,28.0,43.0,11.555555555555555,28.0,36.0,22.0,0.0,,, ,0.0,0.0,29.57,29.76,3.0,26.0,3.6,2012,1,7,1,5,1,,,0,0
2012-01-08,9,3.1354942159291497,1,22.0,1,45.0,27.0,36.0,6.8888888888888875,22.0,32.0,29.0,0.0,,, ,0.0,0.0,29.9,30.11,5.1,30.0,6.6,2012,1,8,1,6,1,,,0,0
2012-01-09,9,3.9318256327243257,1,50.0,1,39.0,23.0,31.0,5.4444444444444455,12.0,25.0,34.0,0.0,,, ,0.0,0.0,30.06,30.2,2.3,23.0,4.0,2012,1,9,2,0,1,,,0,0
2012-01-10,9,3.258096538021482,1,25.0,1,47.0,29.0,38.0,6.222222222222222,24.0,32.0,27.0,0.0,,, ,0.0,0.0,29.69,29.86,5.4,25.0,6.5,2012,1,10,2,1,1,,,0,0
