station_nbr,date,tmax,tmin,tavg,depart,dewpoint,wetbulb,heat,cool,sunrise,sunset,codesum,snowfall,preciptotal,stnpressure,sealevel,resultspeed,resultdir,avgspeed,year,month,day,week,weekday,quarter,holiday,blackfriday
1,2012-01-01,52.0,31.0,42.0,7.888888888888888,36.0,40.0,23.0,0.0,,,RA FZFG BR,0.05555555555555555,0.05,29.78,29.92,3.6,20.0,4.6,2012,1,1,52,6,1,New Year's Day,
2,2012-01-01,48.0,33.0,41.0,16.0,37.0,39.0,24.0,0.0,716.0,1626.0,RA,0.0,0.07,28.82,29.91,9.1,23.0,11.3,2012,1,1,52,6,1,New Year's Day,
3,2012-01-01,55.0,34.0,45.0,9.0,24.0,36.0,20.0,0.0,735.0,1720.0, ,0.0,0.0,29.77,30.47,9.9,31.0,10.0,2012,1,1,52,6,1,New Year's Day,
4,2012-01-01,63.0,47.0,55.0,4.0,28.0,43.0,10.0,0.0,728.0,1742.0, ,0.0,0.0,29.79,30.48,8.0,35.0,8.2,2012,1,1,52,6,1,New Year's Day,
6,2012-01-01,63.0,34.0,49.0,0.0,31.0,43.0,16.0,0.0,727.0,1742.0, ,0.0,0.0,29.95,30.47,14.0,36.0,13.8,2012,1,1,52,6,1,New Year's Day,
7,2012-01-01,50.0,33.0,42.0,7.888888888888888,26.0,35.0,23.0,0.0,,, ,0.0,0.0,29.15,30.54,10.3,32.0,10.2,2012,1,1,52,6,1,New Year's Day,
8,2012-01-01,66.0,45.0,56.53401007575627,7.888888888888888,34.0,46.0,11.377850252980235,3.020910525969395,,,RA BR,0.0,0.0,30.05,30.255000000000006,11.0,36.0,10.9,2012,1,1,52,6,1,New Year's Day,
9,2012-01-01,34.0,19.0,27.0,7.888888888888888,17.0,23.0,38.0,0.0,,,UP,0.0,0.0,29.34,30.09,22.8,30.0,22.5,2012,1,1,52,6,1,New Year's Day,
10,2012-01-01,73.0,53.0,63.0,7.888888888888888,55.0,58.0,2.0,0.0,723.0,1738.0,FG+ FG BR,0.05555555555555555,0.0,30.16,30.19,5.1,24.0,5.5,2012,1,1,52,6,1,New Year's Day,
11,2012-01-01,72.0,48.0,60.0,7.0,54.0,56.0,5.0,0.0,724.0,1737.0,FG+ FG BR,0.0,0.0,30.15,30.18,4.6,23.0,4.8,2012,1,1,52,6,1,New Year's Day,
12,2012-01-01,72.0,48.0,60.0,7.888888888888888,54.0,57.0,5.0,0.0,,,FG+ FG BR,0.0,0.0,30.15,30.19,4.4,25.0,4.8,2012,1,1,52,6,1,New Year's Day,
13,2012-01-01,38.0,18.0,28.0,7.888888888888888,12.0,21.0,37.0,0.0,,, ,0.05555555555555555,0.0,24.6,30.59,2.5,16.0,6.1,2012,1,1,52,6,1,New Year's Day,
14,2012-01-01,50.0,34.0,42.0,5.0,25.0,35.0,23.0,0.0,739.0,1729.0, ,0.0,0.0,29.13,30.52,11.4,32.0,11.3,2012,1,1,52,6,1,New Year's Day,
15,2012-01-01,48.0,26.0,37.0,16.0,35.0,38.0,28.0,0.0,718.0,1621.0,RA FG+ FZFG BR,0.0,0.09,29.53,29.89,2.5,17.0,3.8,2012,1,1,52,6,1,New Year's Day,
16,2012-01-01,50.0,30.0,40.0,7.888888888888888,37.0,40.0,25.0,0.0,,,RA MIFG BR,0.05555555555555555,0.0,29.8,29.89,4.2,21.0,6.8,2012,1,1,52,6,1,New Year's Day,
17,2012-01-01,56.0,38.0,47.0,7.888888888888888,23.0,37.0,18.0,0.0,,, ,0.0,0.0,29.83,30.5,5.4,32.0,5.8,2012,1,1,52,6,1,New Year's Day,
18,2012-01-01,59.0,40.0,50.0,4.0,28.0,40.0,15.0,0.0,730.0,1732.0, ,0.0,0.0,29.98,30.49,9.0,33.0,8.9,2012,1,1,52,6,1,New Year's Day,
19,2012-01-01,38.0,25.0,32.0,10.0,26.0,30.0,33.0,0.0,723.0,1628.0,RA SN BR,0.5,0.12,29.06,29.79,14.6,29.0,15.6,2012,1,1,52,6,1,New Year's Day,
20,2012-01-01,59.0,41.0,50.0,7.888888888888888,28.0,40.0,15.0,0.0,,, ,0.0,0.0,29.78,30.48,10.9,33.0,10.8,2012,1,1,52,6,1,New Year's Day,
1,2012-01-02,50.0,31.0,41.0,1.5555555555555556,26.0,35.0,24.0,0.0,,, ,0.0,0.01,29.44,29.62,9.8,24.0,10.3,2012,1,2,1,0,1,'New Year's Day' observed,
2,2012-01-02,46.0,28.0,37.0,12.0,24.0,32.0,28.0,0.0,716.0,1627.0, ,0.0,0.01,28.51,29.62,12.7,26.0,13.3,2012,1,2,1,0,1,'New Year's Day' observed,
3,2012-01-02,45.0,24.0,35.0,-1.0,11.0,28.0,30.0,0.0,735.0,1721.0, ,0.0,0.0,29.89,30.63,7.7,32.0,8.2,2012,1,2,1,0,1,'New Year's Day' observed,
4,2012-01-02,60.0,37.0,49.0,-2.0,26.0,39.0,16.0,0.0,728.0,1742.0, ,0.0,0.0,29.93,30.64,3.7,36.0,4.8,2012,1,2,1,0,1,'New Year's Day' observed,
6,2012-01-02,60.0,30.0,45.0,-4.0,27.0,38.0,20.0,0.0,727.0,1742.0, ,0.0,0.0,30.09,30.63,9.0,1.0,9.3,2012,1,2,1,0,1,'New Year's Day' observed,
7,2012-01-02,44.0,26.0,35.0,1.5555555555555556,17.0,29.0,30.0,0.0,,, ,0.0,0.0,29.23,30.66,5.7,34.0,6.9,2012,1,2,1,0,1,'New Year's Day' observed,
8,2012-01-02,59.0,36.0,56.53204884128618,1.5555555555555556,29.0,40.0,11.624857679571136,3.2659381553741964,,, ,0.0,0.0,30.25,30.285,6.2,36.0,6.7,2012,1,2,1,0,1,'New Year's Day' observed,
9,2012-01-02,21.0,11.0,16.0,1.5555555555555556,8.0,15.0,49.0,0.0,,,SN UP,0.0,0.0,29.67,30.44,14.4,32.0,14.7,2012,1,2,1,0,1,'New Year's Day' observed,
10,2012-01-02,65.0,45.0,55.0,1.5555555555555556,33.0,46.0,10.0,0.0,723.0,1738.0, ,0.0,0.0,30.11,30.14,10.2,30.0,11.2,2012,1,2,1,0,1,'New Year's Day' observed,
11,2012-01-02,63.0,40.0,52.0,-1.0,31.0,44.0,13.0,0.0,724.0,1738.0, ,0.0,0.0,30.1,30.14,10.2,29.0,11.1,2012,1,2,1,0,1,'New Year's Day' observed,
12,2012-01-02,65.0,47.0,56.0,1.5555555555555556,33.0,46.0,9.0,0.0,,, ,0.0,0.0,30.09,30.14,11.7,30.0,12.7,2012,1,2,1,0,1,'New Year's Day' observed,
13,2012-01-02,50.0,16.0,33.0,1.5555555555555556,17.0,28.0,32.0,0.0,,, ,0.0,0.0,24.55,30.54,6.1,16.0,6.8,2012,1,2,1,0,1,'New Year's Day' observed,
14,2012-01-02,45.0,26.0,36.0,-1.0,16.0,29.0,29.0,0.0,739.0,1729.0, ,0.0,0.0,29.21,30.65,6.3,35.0,7.4,2012,1,2,1,0,1,'New Year's Day' observed,
15,2012-01-02,43.0,29.0,36.0,15.0,24.0,32.0,29.0,0.0,718.0,1622.0,BR,0.0,0.02,29.2,29.58,7.1,24.0,8.1,2012,1,2,1,0,1,'New Year's Day' observed,
16,2012-01-02,50.0,30.0,40.0,1.5555555555555556,26.0,35.0,25.0,0.0,,,RA,0.0,0.01,29.48,29.59,9.6,27.0,10.9,2012,1,2,1,0,1,'New Year's Day' observed,
17,2012-01-02,45.0,22.0,34.0,1.5555555555555556,10.0,28.0,31.0,0.0,,, ,0.0,0.0,29.96,30.66,3.7,33.0,4.8,2012,1,2,1,0,1,'New Year's Day' observed,
18,2012-01-02,53.0,35.0,44.0,-2.0,23.0,36.0,21.0,0.0,730.0,1733.0, ,0.0,0.0,30.11,30.63,6.7,35.0,6.9,2012,1,2,1,0,1,'New Year's Day' observed,
